Srno,Company_Name,Bid_Opening_Date,Bid_Closing_Date,Face_Value,Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Issue_size,Fresh_issue,Offer_for_sale,Basis_of_Allotment_Date,Initiation_of_refunds,Credit_of_shares_to_demat_account,Listing_date,Listing_day,Listing_year,BSE_script_code,NSE_symbol,Listing_in,ISIN,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Registrar_Name,Pre_Issue_Share_Holding,Post_Issue_Share_Holding,NSE_Listing_day_open,NSE_Listing_day_low,NSE_Listing_day_high,NSE_Listing_day_last_trade,NSE_Listing_day_volume,NSE_SME_Listing_day_open,NSE_SME_Listing_day_low,NSE_SME_Listing_day_high,NSE_SME_Listing_day_last_trade,NSE_SME_Listing_day_volume,BSE_Listing_day_open,BSE_Listing_day_low,BSE_Listing_day_high,BSE_Listing_day_last_trade,BSE_Listing_day_volume,BSE_SME_Listing_day_open,BSE_SME_Listing_day_low,BSE_SME_Listing_day_high,BSE_SME_Listing_day_last_trade,BSE_SME_Listing_day_volume
918,Surani Steel Tubes Limited ,"Jan 25, 2019","Jan 29, 2019",10,51,52,2000,NSE SME,"2,484,000 Eq Shares of ₹10 (aggregating up to ₹12.92 Cr)","2,484,000 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)",NaN,NaN,NaN,NaN,"Wednesday, February 6, 2019",Wednesday,2019,NaN,SURANI,NaN,INE01ZJ01015,NaN,1.70,1.23,1.55,Link Intime India Private Ltd,"20,95,000 Shares (36.12",NaN,NaN,NaN,NaN,NaN,NaN,53.10,50.45,53.25,53.25,12000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
919,Ritco Logistics Limited ,"Jan 28, 2019","Jan 30, 2019",10,71,73,1600,BSE SME,"6,600,000 Eq Shares of ₹10 (aggregating up to ₹48.18 Cr)","5,000,000 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)","1,600,000 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)","Feb 4, 2019","Feb 5, 2019","Feb 6, 2019","Thursday, February 7, 2019",Thursday,2019,542383,NaN,MT,INE01EG01016,NaN,1.82,0.96,1.39,Link Intime India Private Ltd,78.44,55.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.40,73.55,77.40,73.55,2201600
920,Kranti Industries Limited ,"Feb 14, 2019","Feb 20, 2019",10,37,37,3000,BSE SME,"2,319,000 Eq Shares of ₹10 (aggregating up to ₹8.58 Cr)","1,752,000 Eq Shares of ₹10 (aggregating up to ₹6.68 Cr)","567,000 Eq Shares of ₹10 (aggregating up to ₹2.10 Cr)",NaN,NaN,NaN,"Thursday, February 28, 2019",Thursday,2019,542459,NaN,MT,INE911T01010,NaN,1.26,1.31,1.29,Link Intime India Private Ltd,68.18,54.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.25,35.25,37.00,36.95,570000
921,Anmol India Limited ,"Feb 12, 2019","Feb 14, 2019",10,33,33,4000,BSE SME,"3,100,000 Eq Shares of ₹10 (aggregating up to ₹10.23 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, February 21, 2019",Thursday,2019,542437,NaN,MT,INE02AR01019,NaN,1.56,1.56,1.56,Bigshare Services Pvt Ltd,100,54.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.60,33.20,33.75,35.90,196000
922,Jonjua Overseas Limited ,"Feb 12, 2019","Feb 15, 2019",10,10,10,10000,BSE SME,"1,300,000 Eq Shares of ₹10 (aggregating up to ₹1.30 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, February 25, 2019",Monday,2019,542446,NaN,MT,INE793Z01027,NaN,1.02,1.32,1.17,Satellite Corporate Services Private Limited,75.31,63.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.00,11.40,12.00,11.40,30000
923,Aartech Solonics Limited ,"Mar 12, 2019","Mar 18, 2019",10,34,34,4000,BSE SME,"2,120,000 Eq Shares of ₹10 (aggregating up to ₹7.21 Cr)",NaN,NaN,"Mar 22, 2019","Mar 25, 2019","Mar 25, 2019","Wednesday, March 27, 2019",Wednesday,2019,542580,NaN,MT,INE01C001018,NaN,2.35,1.64,2.00,Bigshare Services Pvt Ltd,74.85,52.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.95,33.95,34.90,34.60,312000
924,Gleam Fabmat Limited ,"Feb 19, 2019","Feb 22, 2019",10,10,10,10000,BSE SME,"3,120,000 Eq Shares of ₹10 (aggregating up to ₹3.12 Cr)",NaN,NaN,"Feb 27, 2019","Feb 28, 2019","Mar 1, 2019","Tuesday, March 5, 2019",Tuesday,2019,542477,NaN,NaN,INE03CM01014,NaN,2.74,0.76,1.75,Bigshare Services Pvt Ltd,100,68.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.00,8.55,9.00,8.55,1000000
925,Mahip Industries Limited ,"Feb 26, 2019","Mar 1, 2019",10,32,32,4000,BSE SME,"5,196,000 Eq Shares of ₹10 (aggregating up to ₹16.63 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, March 12, 2019",Tuesday,2019,542503,NaN,MT,INE00CX01017,NaN,1.53,1.54,1.54,Bigshare Services Pvt Ltd,89.60,65.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.00,32.00,33.60,33.60,1508000
926,MSTC Limited ,"Mar 13, 2019","Mar 20, 2019",10,120,128,90,"BSE, NSE","17,670,400 Eq Shares of ₹10 (aggregating up to ₹212.04 Cr)",NaN,NaN,"Mar 25, 2019","Mar 26, 2019","Mar 28, 2019","Friday, March 29, 2019",Friday,2019,542597,MSTC,NaN,INE255X01014,1.13,2.15,2.95,1.46,Alankit Assignments Ltd,89.85,64.75,115.00,111.00,120.00,113.95,421066,NaN,NaN,NaN,NaN,NaN,111.00,110.05,116.55,114.20,74590,NaN,NaN,NaN,NaN,NaN
927,Ashapuri Gold Ornament Limited ,"Mar 13, 2019","Mar 18, 2019",10,51,51,2000,BSE SME,"5,750,000 Eq Shares of ₹10 (aggregating up to ₹29.33 Cr)",NaN,NaN,"Mar 22, 2019","Mar 25, 2019","Mar 26, 2019","Wednesday, March 27, 2019",Wednesday,2019,542579,NaN,MT,INE05FR01011,NaN,2.07,0.25,1.16,Bigshare Services Pvt Ltd,100,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.00,48.00,52.45,51.00,102000
928,Embassy Office Parks REIT (Embassy Office Parks) Detail,"Mar 18, 2019","Mar 20, 2019",300,299,300,400,"BSE, NSE","158,333,200 Eq Shares of ₹300 (aggregating up to ₹4,750.00 Cr)",NaN,NaN,"Mar 28, 2019","Mar 29, 2019",[.],"Monday, April 1, 2019",Monday,2019,542602,EMBASSY,NaN,INE041025011,2.15,3.09,NaN,2.57,KFintech Private Limited,NaN,NaN,308.00,308.00,324.80,314.67,2903200,NaN,NaN,NaN,NaN,NaN,300.00,300.00,324.50,314.10,278800,NaN,NaN,NaN,NaN,NaN
929,Humming Bird Education Limited ,"Mar 15, 2019","Mar 19, 2019",10,132,132,1000,BSE SME,"163,000 Eq Shares of ₹10 (aggregating up to ₹2.15 Cr)",NaN,NaN,"Mar 25, 2019","Mar 26, 2019","Mar 27, 2019","Thursday, March 28, 2019",Thursday,2019,542592,NaN,MT,INE02PC01019,NaN,1.90,0.91,1.42,Bigshare Services Pvt Ltd,100,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,132.00,132.00,138.55,132.00,7000
930,Artedz Fabs Limited ,"Mar 18, 2019","Mar 20, 2019",10,34,36,3000,NSE SME,"2,310,000 Eq Shares of ₹10 (aggregating up to ₹8.32 Cr)",NaN,NaN,"Mar 26, 2019","Mar 27, 2019","Mar 28, 2019","Friday, March 29, 2019",Friday,2019,NaN,ARTEDZ,NaN,INE00CO01016,NaN,1.31,1.78,1.54,Bigshare Services Pvt Ltd,68.88,50.59,NaN,NaN,NaN,NaN,NaN,40.00,39.00,42.00,41.65,1536000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
931,Northern Spirits Limited ,"Mar 22, 2019","Mar 27, 2019",10,43,43,3000,BSE SME,"4,302,000 Eq Shares of ₹10 (aggregating up to ₹18.50 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, April 4, 2019",Thursday,2019,542628,NaN,MT,INE01BL01012,NaN,1.83,0.78,1.30,Cameo Corporate Services Limited,90.98,66.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.70,41.55,43.70,43.10,141000
932,KHFM Hospitality and Facility Management Services Ltd ,"Mar 22, 2019","Apr 4, 2019",10,36,36,3000,NSE SME,"2,950,000 Eq Shares of ₹10 (aggregating up to ₹10.62 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, April 12, 2019",Friday,2019,NaN,KHFM,ST,INE00UG01014,NaN,1.34,1.48,1.34,Bigshare Services Pvt Ltd,100,69.59,NaN,NaN,NaN,NaN,NaN,36.50,35.95,36.50,36.10,129000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
933,Roopshri Resorts Limited ,"Mar 19, 2019","Mar 22, 2019",10,20,20,6000,BSE SME,"1,800,000 Eq Shares of ₹10 (aggregating up to ₹3.60 Cr)",NaN,NaN,"Mar 27, 2019","Mar 28, 2019","Mar 29, 2019","Monday, April 1, 2019",Monday,2019,542599,NaN,NaN,INE03WT01017,NaN,1.42,0.75,1.09,Bigshare Services Pvt Ltd,100,62.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.25,20.25,20.25,20.25,18000,NaN,NaN,NaN,NaN,NaN
934,Osia Hyper Retail Limited ,"Mar 26, 2019","Mar 28, 2019",10,252,252,400,NSE SME,"1,578,400 Eq Shares of ₹10 (aggregating up to ₹39.78 Cr)",NaN,NaN,"Apr 2, 2019","Apr 3, 2019","Apr 4, 2019","Friday, April 5, 2019",Friday,2019,NaN,OSIAHYPER,NaN,INE06IR01013,NaN,1.66,0.57,1.12,Skyline Financial Services Private Ltd,100,73.48,NaN,NaN,NaN,NaN,NaN,255.00,255.00,267.75,267.60,133200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
935,Metropolis Healthcare Limited ,"Apr 3, 2019","Apr 5, 2019",2,877,880,17,"BSE, NSE","13,685,095 Eq Shares of ₹2 (aggregating up to ₹1,204.29 Cr)",NaN,NaN,"Apr 10, 2019","Apr 11, 2019","Apr 12, 2019","Monday, April 15, 2019",Monday,2019,542650,METROPOLIS,B,INE112L01020,8.88,3.03,2.15,5.83,Link Intime India Private Ltd,99.71,49.44,958.00,935.00,982.70,959.85,7279787,NaN,NaN,NaN,NaN,NaN,960.00,934.80,981.30,959.55,613159,NaN,NaN,NaN,NaN,NaN
936,Polycab India Limited ,"Apr 5, 2019","Apr 9, 2019",10,533,538,27,"BSE, NSE","[.] Eq Shares of ₹10 (aggregating up to ₹1,346.00 Cr)",[.] Eq Shares of ₹10 (aggregating up to ₹400.00 Cr),"17,582,000 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)","Apr 12, 2019","Apr 15, 2019","Apr 16, 2019","Tuesday, April 16, 2019",Tuesday,2019,542652,POLYCAB,B,INE455K01017,92.44,110.42,4.50,51.88,KFintech Private Limited,78.94,NaN,633.00,630.00,667.80,654.80,22985293,NaN,NaN,NaN,NaN,NaN,633.00,633.00,667.55,655.00,2242831,NaN,NaN,NaN,NaN,NaN
937,Rail Vikas Nigam Limited ,"Mar 29, 2019","Apr 3, 2019",10,17,19,780,"BSE, NSE","253,457,280 Eq Shares of ₹10 (aggregating up to ₹481.57 Cr)",NaN,NaN,"Apr 8, 2019","Apr 9, 2019","Apr 9, 2019","Thursday, April 11, 2019",Thursday,2019,542649,RVNL,B,INE415G01027,1.36,0.80,2.92,1.82,Alankit Assignments Ltd,NaN,NaN,19.00,18.65,19.80,19.05,89144982,NaN,NaN,NaN,NaN,NaN,19.00,18.60,19.75,19.05,11152232,NaN,NaN,NaN,NaN,NaN
938,Jinaams Dress Limited ,"Apr 9, 2019","Apr 15, 2019",10,59,59,2000,BSE SME,"7,200,000 Eq Shares of ₹10 (aggregating up to ₹42.48 Cr)",NaN,NaN,"Apr 22, 2019","Apr 23, 2019","Apr 24, 2019","Thursday, April 25, 2019",Thursday,2019,542653,NaN,MT,INE011201014,NaN,1.34,1.08,1.21,Bigshare Services Pvt Ltd,88.18,59.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.00,56.05,59.00,56.10,266000
939,V R Films & Studios Limited ,"Apr 12, 2019","Apr 18, 2019",10,61,61,2000,BSE SME,"372,000 Eq Shares of ₹10 (aggregating up to ₹2.27 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, April 30, 2019",Tuesday,2019,542654,NaN,MT,INE06LG01010,NaN,1.50,1.56,1.53,Link Intime India Private Ltd,99.99,72.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.00,58.95,62.00,60.00,32000
940,Cian Healthcare Limited ,"May 2, 2019","May 15, 2019",10,59,65,2000,BSE SME,"6,216,000 Eq Shares of ₹10 (aggregating up to ₹37.92 Cr)",NaN,NaN,"May 20, 2019","May 21, 2019","May 22, 2019","Thursday, May 23, 2019",Thursday,2019,542678,NaN,MT,INE05BN01019,NaN,1.91,0.59,1.25,Bigshare Services Pvt Ltd,96.60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.00,58.90,62.90,61.50,720000
941,Neogen Chemicals Limited ,"Apr 24, 2019","Apr 26, 2019",10,212,215,65,"BSE, NSE",[.] Eq Shares of ₹10 (aggregating up to ₹132.35 Cr),[.] Eq Shares of ₹10 (aggregating up to ₹70.00 Cr),"2,900,000 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)","May 3, 2019","May 6, 2019","May 7, 2019","Wednesday, May 8, 2019",Wednesday,2019,542665,NEOGEN,NaN,INE136S01016,30.49,113.88,15.86,41.07,Link Intime India Private Ltd,NaN,NaN,251.00,250.50,263.55,263.55,1358653,NaN,NaN,NaN,NaN,NaN,251.00,250.10,263.55,263.55,288154,NaN,NaN,NaN,NaN,NaN
942,G. K. P. Printing & Packaging Limited ,"Apr 23, 2019","Apr 26, 2019",10,32,32,4000,BSE SME,"2,056,000 Eq Shares of ₹10 (aggregating up to ₹6.58 Cr)",NaN,NaN,"May 3, 2019","May 6, 2019","May 7, 2019","Wednesday, May 8, 2019",Wednesday,2019,542666,NaN,MT,INE05QJ01015,NaN,1.57,1.56,1.56,Link Intime India Private Ltd,73.57,53.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.20,33.00,35.90,35.00,1180000
943,Artemis Electricals Limited ,"Apr 24, 2019","May 6, 2019",10,54,60,2000,BSE SME,"7,000,000 Eq Shares of ₹10 (aggregating up to ₹42.00 Cr)",NaN,NaN,"May 6, 2019","May 8, 2019","May 10, 2019","Tuesday, May 14, 2019",Tuesday,2019,542670,NaN,MT,INE757T01017,NaN,1.67,0.45,1.06,Cameo Corporate Services Limited,91.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.00,67.00,70.00,69.85,1692000
944,White Organic Retail Limited ,"Apr 26, 2019","May 2, 2019",10,63,63,2000,BSE SME,"2,454,000 Eq Shares of ₹10 (aggregating up to ₹15.46 Cr)",NaN,NaN,"May 7, 2019","May 8, 2019","May 9, 2019","Friday, May 10, 2019",Friday,2019,542667,NaN,MT,INE06CG01019,NaN,2.02,0.70,1.36,Link Intime India Private Ltd,100,55.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.20,64.00,64.45,64.30,308000
945,Evans Electric Limited ,"Apr 30, 2019","May 3, 2019",10,52,52,2000,BSE SME,"372,000 Eq Shares of ₹10 (aggregating up to ₹1.93 Cr)",NaN,NaN,"May 8, 2019","May 9, 2019","May 10, 2019","Monday, May 13, 2019",Monday,2019,542668,NaN,MT,INE06TD01010,NaN,2.63,0.56,1.59,Bigshare Services Pvt Ltd,80,58.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.20,52.20,54.80,54.80,16000
946,Par Drugs and Chemicals Limited ,"May 3, 2019","May 8, 2019",10,51,51,2000,NSE SME,"1,672,000 Eq Shares of ₹10 (aggregating up to ₹8.53 Cr)","1,672,000 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)",NaN,"May 13, 2019","May 14, 2019","May 15, 2019","Thursday, May 16, 2019",Thursday,2019,NaN,PAR,NaN,INE04LG01015,NaN,3.48,7.97,5.74,Link Intime India Private Ltd,99.55,72.82,NaN,NaN,NaN,NaN,NaN,52.90,50.30,52.90,50.45,600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
947,Gensol Engineering Limited ,"Sep 30, 2019","Oct 4, 2019",10,81,83,1600,BSE SME,"2,160,000 Eq Shares of ₹10 (aggregating up to ₹17.93 Cr)",NaN,NaN,"Oct 10, 2019","Oct 11, 2019","Oct 14, 2019","Tuesday, October 15, 2019",Tuesday,2019,542851,GENSOL,MT,INE06H201014,NaN,2.27,0.37,1.32,Link Intime India Private Ltd,96,70.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.40,83.50,89.50,86.25,94400
948,Suich Industries Limited ,"May 30, 2019","Jun 4, 2019",10,73,75,1600,BSE SME,"4,115,200 Eq Shares of ₹10 (aggregating up to ₹30.86 Cr)",NaN,NaN,"Jun 10, 2019","Jun 11, 2019","Jun 12, 2019","Thursday, June 13, 2019",Thursday,2019,542683,NaN,MT,INE00CU01013,NaN,1.32,1.47,1.39,Link Intime India Private Ltd,95.50,69.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.50,65.10,71.90,71.35,670400
949,Meera Industries Limited FPO (Meera Industries FPO) Detail,"Jun 13, 2019","Jun 18, 2019",10,225,225,500,BSE SME,"522,000 Eq Shares of ₹10 (aggregating up to ₹11.75 Cr)",NaN,NaN,"Jun 21, 2019","Jun 24, 2019","Jun 25, 2019","Wednesday, June 26, 2019",Wednesday,2019,540519,NaN,M,INE343X01018,NaN,1.99,0.33,1.16,KFintech Private Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,222.50,216.00,222.50,221.90,2000
950,Anand Rayons Limited ,"Jun 18, 2019","Jun 24, 2019",10,27,27,4000,BSE SME,"4,688,000 Eq Shares of ₹10 (aggregating up to ₹12.66 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, July 2, 2019",Tuesday,2019,542721,NaN,MT,INE02GA01012,NaN,1.86,0.48,1.17,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.25,27.05,28.25,27.20,36000
951,Parshva Enterprises Limited ,"Jun 19, 2019","Jun 21, 2019",10,45,45,3000,BSE SME,"810,000 Eq Shares of ₹10 (aggregating up to ₹3.65 Cr)",NaN,NaN,"Jun 27, 2019","Jun 28, 2019","Jun 28, 2019","Monday, July 1, 2019",Monday,2019,542694,NaN,MT,INE05MV01019,NaN,1.65,0.74,1.20,Bigshare Services Pvt Ltd,100,73.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.85,45.30,48.10,46.00,195000
952,Earum Pharmaceuticals Limited ,"Jun 21, 2019","Jun 26, 2019",10,36,36,3000,BSE SME,"1,848,000 Eq Shares of ₹10 (aggregating up to ₹6.65 Cr)",NaN,NaN,"Jul 1, 2019","Jul 2, 2019","Jul 3, 2019","Thursday, July 4, 2019",Thursday,2019,542724,NaN,MT,INE060601015,NaN,1.72,1.48,1.60,Bigshare Services Pvt Ltd,100,70.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.00,36.00,36.15,36.05,525000
953,IndiaMART InterMESH Limited ,"Jun 24, 2019","Jun 26, 2019",10,970,973,15,"BSE, NSE","4,887,862 Eq Shares of ₹10 (aggregating up to ₹475.59 Cr)",NaN,"4,887,862 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)","Jul 1, 2019","Jul 2, 2019","Jul 3, 2019","Thursday, July 4, 2019",Thursday,2019,542726,INDIAMART,B,INE933S01016,30.83,62.13,14.07,36.21,Link Intime India Private Ltd,58,53,"1,180.00","1,180.00","1,338.00","1,301.95",7561613,NaN,NaN,NaN,NaN,NaN,"1,180.00","1,180.00","1,339.00","1,302.55",689074,NaN,NaN,NaN,NaN,NaN
954,SBC Exports Limited ,"Jun 24, 2019","Jun 26, 2019",10,22,22,6000,BSE SME,"2,982,000 Eq Shares of ₹10 (aggregating up to ₹6.56 Cr)",NaN,NaN,"Jul 1, 2019","Jul 2, 2019","Jul 3, 2019","Thursday, July 4, 2019",Thursday,2019,542725,NaN,MT,INE04AK01010,NaN,1.94,0.78,1.36,Bigshare Services Pvt Ltd,92.91,66.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.00,22.00,23.10,23.10,606000
955,A B Infrabuild Limited ,"Jun 28, 2019","Jul 3, 2019",10,29,29,4000,NSE SME,"4,428,000 Eq Shares of ₹10 (aggregating up to ₹12.84 Cr)","4,428,000 Eq Shares of ₹10 (aggregating up to ₹12.84 Cr)",NaN,"Jul 9, 2019","Jul 10, 2019","Jul 10, 2019","Friday, July 12, 2019",Friday,2019,NaN,ABINFRA,NaN,INE00YB01017,NaN,1.20,0.74,0.97,Bigshare Services Pvt Ltd,90.99,59.19,NaN,NaN,NaN,NaN,NaN,29.00,28.50,29.50,29.15,112000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
956,SK International Export Limited ,"Jun 28, 2019","Jul 5, 2019",10,20,20,6000,BSE SME,"1,980,000 Eq Shares of ₹10 (aggregating up to ₹3.96 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, July 15, 2019",Monday,2019,542728,NaN,MT,INE04ST01013,NaN,1.97,0.54,1.26,KFintech Private Limited,95.33,69.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.20,19.20,20.00,20.00,60000
957,City Pulse Multiplex Limited ,"Jun 27, 2019","Jul 3, 2019",10,30,30,4000,BSE SME,"1,328,000 Eq Shares of ₹10 (aggregating up to ₹3.98 Cr)",NaN,NaN,"Jul 8, 2019","Jul 9, 2019","Jul 9, 2019","Thursday, July 11, 2019",Thursday,2019,542727,NaN,MT,INE056001014,NaN,2.67,3.33,3.00,Link Intime India Private Ltd,65.73,39.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.50,28.00,29.90,29.65,364000
958,Wonder Fibromats Limited ,"Jul 22, 2019","Jul 29, 2019",10,89,89,1600,NSE SME,"2,224,000 Eq Shares of ₹10 (aggregating up to ₹19.79 Cr)",NaN,NaN,"Jul 29, 2019","Jul 30, 2019","Jul 31, 2019","Tuesday, August 6, 2019",Tuesday,2019,NaN,WFL,NaN,INE02WG01016,NaN,2.19,0.33,1.26,KFintech Private Limited,97.75,71.79,NaN,NaN,NaN,NaN,NaN,93.00,89.00,93.00,89.05,155200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
959,Affle (India) Limited ,"Jul 29, 2019","Jul 31, 2019",10,740,745,20,"BSE, NSE",[.] Eq Shares of ₹10 (aggregating up to ₹459.00 Cr),"1,216,200 Eq Shares of ₹10 (aggregating up to ₹90.00 Cr)","4,953,020 Eq Shares of ₹10 (aggregating up to ₹369.00 Cr)","Aug 5, 2019","Aug 6, 2019","Aug 7, 2019","Thursday, August 8, 2019",Thursday,2019,542752,AFFLE,B,INE00WC01019,55.31,198.69,10.94,86.48,KFintech Private Limited,92.17,68.4,926.00,750.00,958.70,873.65,8361975,NaN,NaN,NaN,NaN,NaN,929.90,751.05,958.30,875.10,862375,NaN,NaN,NaN,NaN,NaN
960,Spandana Sphoorty Financial Ltd ,"Aug 5, 2019","Aug 7, 2019",10,853,856,17,"BSE, NSE","14,046,056 Eq Shares of ₹10 (aggregating up to ₹1,202.34 Cr)","4,689,331 Eq Shares of ₹10 (aggregating up to ₹400.00 Cr)","9,356,725 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)","Aug 14, 2019","Aug 14, 2019","Aug 16, 2019","Monday, August 19, 2019",Monday,2019,542759,SPANDANA,B,INE572J01011,3.11,0.55,0.09,1.05,KFintech Private Limited,81.21,62.6,825.00,691.10,866.00,847.80,4632064,NaN,NaN,NaN,NaN,NaN,824.00,690.00,865.00,848.40,472028,NaN,NaN,NaN,NaN,NaN
961,Sterling and Wilson Solar Ltd ,"Aug 6, 2019","Aug 8, 2019",1,775,780,19,"BSE, NSE","40,322,580 Eq Shares of ₹1 (aggregating up to ₹3,145.16 Cr)",NaN,"[.] Eq Shares of ₹1 (aggregating up to ₹3,125.00 Cr)","Aug 14, 2019","Aug 16, 2019","Aug 19, 2019","Tuesday, August 20, 2019",Tuesday,2019,542760,SWSOLAR,B,INE00M201021,1.02,0.89,0.30,0.85,Link Intime India Private Ltd,100,75,706.00,690.10,753.45,726.20,4599673,NaN,NaN,NaN,NaN,NaN,700.00,691.00,755.50,725.35,308653,NaN,NaN,NaN,NaN,NaN
962,Shiv Aum Steels Ltd ,"Sep 19, 2019","Sep 23, 2019",10,44,44,3000,NSE SME,"3,600,000 Eq Shares of ₹10 (aggregating up to ₹15.84 Cr)",NaN,NaN,"Sep 26, 2019","Sep 27, 2019","Sep 30, 2019","Tuesday, October 1, 2019",Tuesday,2019,NaN,SHIVAUM,ST,INE719F01016,NaN,2.26,0.43,1.34,Skyline Financial Services Private Ltd,100,73.53,NaN,NaN,NaN,NaN,NaN,44.25,44.10,44.60,44.15,279000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
